Employee Id,Name,Hourly Wage,Hours Worked, Taxable Income , Taxes to be paid ,Tax rate:,0.3
1,Mars,$15.00,160," $2,400.00 ", $720.00 ,,
2,Michael,$16.00,170," $2,720.00 ", $816.00 ,,
3,Michael,$17.00,180," $3,060.00 ", $918.00 ,,
4,Michael,$18.00,190,3420," $1,026.00 ",,
5,Michael,$19.00,200," $3,800.00 "," $1,140.00 ",,
6,Michael,$20.00,210," $4,200.00 "," $1,260.00 ",,
7,Michael,$21.00,220," $4,620.00 "," $1,386.00 ",,
8,Michael,$22.00,230," $5,060.00 "," $1,518.00 ",,
9,Michael,$23.00,240," $5,520.00 "," $1,656.00 ",,
10,Michael,$24.00,250," $6,000.00 "," $1,800.00 ",,
11,Michael,$25.00,260," $6,500.00 "," $1,950.00 ",,
12,,Total:,2310," $47,300.00 "," $14,190.00 ",,
13,,Average:,210," $4,300.00 "," $1,290.00 ",,
14,,Highest,260," $6,500.00 "," $1,950.00 ",,
15,,Lowest,160," $2,400.00 ", $720.00 ,,
16,,Number of Employees,11,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
